,Date Time,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6
1,2021-09-30 18:05:34.4580,-200,-200,-200,-200,-200,-200
2,2021-09-30 18:05:34.5588,-200,-200,-200,-200,-200,-200
3,2021-09-30 18:05:34.6391,-200,-200,-200,-200,-200,-200
4,2021-09-30 18:05:34.7825,-200,-200,-200,-200,-200,-200
5,2021-09-30 18:05:34.8920,-200,-200,-200,-200,-200,-200
6,2021-09-30 18:05:34.9875,-200,-200,-200,-200,-200,-200
7,2021-09-30 18:05:35.0564,-200,-200,-200,-200,-200,-200
8,2021-09-30 18:05:35.1435,-200,-200,-200,-200,-200,-200
9,2021-09-30 18:05:35.2237,-200,-200,-200,-200,-200,-200
10,2021-09-30 18:05:35.3535,-200,-200,-200,-200,-200,-200
11,2021-09-30 18:05:35.5173,-200,-200,-200,-200,-200,-200
12,2021-09-30 18:05:35.5969,-200,-200,-200,-200,-200,-200
13,2021-09-30 18:05:35.6850,-200,-200,-200,-200,-200,-200
14,2021-09-30 18:05:35.7938,-200,-200,-200,-200,-200,-200
15,2021-09-30 18:05:35.9028,-200,-200,-200,-200,-200,-200
16,2021-09-30 18:05:35.9950,-200,-200,-200,-200,-200,-200
17,2021-09-30 18:05:36.0824,-200,-200,-200,-200,-200,-200
18,2021-09-30 18:05:36.2050,-200,-200,-200,-200,-200,-200
19,2021-09-30 18:05:36.2804,-200,-200,-200,-200,-200,-200
20,2021-09-30 18:05:36.4036,-200,-200,-200,-200,-200,-200
21,2021-09-30 18:05:36.5054,-200,-200,-200,-200,-200,-200
22,2021-09-30 18:05:36.6149,-200,-200,-200,-200,-200,-200
23,2021-09-30 18:05:36.7101,-200,-200,-200,-200,-200,-200
24,2021-09-30 18:05:36.8113,-200,-200,-200,-200,-200,-200
25,2021-09-30 18:05:36.8640,-200,-200,-200,-200,-200,-200
26,2021-09-30 18:05:36.9115,-200,-200,-200,-200,-200,-200
27,2021-09-30 18:05:37.0000,-200,-200,-200,-200,-200,-200
28,2021-09-30 18:05:37.0805,-200,-200,-200,-200,-200,-200
29,2021-09-30 18:05:37.1625,-200,-200,-200,-200,-200,-200
30,2021-09-30 18:05:37.2631,-200,-200,-200,-200,-200,-200
31,2021-09-30 18:05:37.3875,-200,-200,-200,-200,-200,-200
32,2021-09-30 18:05:37.4637,-200,-200,-200,-200,-200,-200
33,2021-09-30 18:05:37.4824,-200,-200,-200,-200,-200,-200
34,2021-09-30 18:05:37.5649,-200,-200,-200,-200,-200,-200
35,2021-09-30 18:05:37.6250,-200,-200,-200,-200,-200,-200
36,2021-09-30 18:05:37.7475,-200,-200,-200,-200,-200,-200
37,2021-09-30 18:05:37.8501,-200,-200,-200,-200,-200,-200
38,2021-09-30 18:05:37.9630,-200,-200,-200,-200,-200,-200
39,2021-09-30 18:05:38.0501,-200,-200,-200,-200,-200,-200
40,2021-09-30 18:05:38.1635,-200,-200,-200,-200,-200,-200
41,2021-09-30 18:05:38.2710,-200,-200,-200,-200,-200,-200
42,2021-09-30 18:05:38.3454,-200,-200,-200,-200,-200,-200
43,2021-09-30 18:05:38.4440,-200,-200,-200,-200,-200,-200
44,2021-09-30 18:05:38.5760,-200,-200,-200,-200,-200,-200
45,2021-09-30 18:05:38.7199,-200,-200,-200,-200,-200,-200
46,2021-09-30 18:05:38.8551,-200,-200,-200,-200,-200,-200
47,2021-09-30 18:05:38.9884,-200,-200,-200,-200,-200,-200
48,2021-09-30 18:05:39.1982,-200,-200,-200,-200,-200,-200
49,2021-09-30 18:05:39.3067,-200,-200,-200,-200,-200,-200
50,2021-09-30 18:05:39.3528,-200,-200,-200,-200,-200,-200
51,2021-09-30 18:05:39.4577,-200,-200,-200,-200,-200,-200
52,2021-09-30 18:05:39.6492,-200,-200,-200,-200,-200,-200
53,2021-09-30 18:05:39.7859,-200,-200,-200,-200,-200,-200
54,2021-09-30 18:05:39.9156,-200,-200,-200,-200,-200,-200
55,2021-09-30 18:05:40.0258,-200,-200,-200,-200,-200,-200
56,2021-09-30 18:05:40.1222,-200,-200,-200,-200,-200,-200
57,2021-09-30 18:05:40.2266,-200,-200,-200,-200,-200,-200
58,2021-09-30 18:05:40.3359,-200,-200,-200,-200,-200,-200
59,2021-09-30 18:05:40.4329,-200,-200,-200,-200,-200,-200
60,2021-09-30 18:05:40.4968,-200,-200,-200,-200,-200,-200
61,2021-09-30 18:05:40.6080,-200,-200,-200,-200,-200,-200
62,2021-09-30 18:05:40.7004,-200,-200,-200,-200,-200,-200
63,2021-09-30 18:05:40.7826,-200,-200,-200,-200,-200,-200
64,2021-09-30 18:05:40.8605,-200,-200,-200,-200,-200,-200
65,2021-09-30 18:05:40.9876,-200,-200,-200,-200,-200,-200
66,2021-09-30 18:05:41.0750,-200,-200,-200,-200,-200,-200
67,2021-09-30 18:05:41.1785,-200,-200,-200,-200,-200,-200
68,2021-09-30 18:05:41.3039,-200,-200,-200,-200,-200,-200
69,2021-09-30 18:05:41.3991,-200,-200,-200,-200,-200,-200
70,2021-09-30 18:05:41.4804,-200,-200,-200,-200,-200,-200
71,2021-09-30 18:05:41.5899,-200,-200,-200,-200,-200,-200
72,2021-09-30 18:05:41.6936,-200,-200,-200,-200,-200,-200
73,2021-09-30 18:05:41.8091,-200,-200,-200,-200,-200,-200
